gene_id	gene_name	DRX001077	DRX001078	DRX003214	DRX331013	SRX1096724	SRX12476603	SRX477984	SRX477985	SRX477988	SRX707440	UV_Tom
OoffiChr01g03402	OoffiChr01g03402	13.679286	10.187886	11.583934	4.529815	7.731473	14.384762	6.649742	16.845281	7.985294	4.978073	7.12811
OoffiChr01g03403	OoffiChr01g03403	0.910676	14.492291	6.590825	179.858811	33.91365	4.578698	110.453168	15.937724	2.763902	147.930988	0.696012
OoffiChr01g03404	OoffiChr01g03404	19.891426	22.076703	27.398758	12.705164	32.725874	60.712791	22.712244	42.798194	29.64563	300.996458	43.158036
OoffiChr01g03405	OoffiChr01g03405	10.119122	18.15561	11.37068	2.988309	8.320797	19.262893	2.139262	2.879909	12.244589	13.417558	15.784105
OoffiChr01g03406	OoffiChr01g03406	2.524402	5.52802	0.991348	0.712182	38.940544	93.277601	0.888842	0.316821	21.948187	0	2.953836
OoffiChr01g03407	OoffiChr01g03407	2.075095	3.610273	8.66732	0.950998	299.822895	188.54873	3.913847	13.385382	27.377198	2.290952	11.338941
OoffiChr01g03408	OoffiChr01g03408	20.922058	18.929475	22.059591	11.668292	14.725112	30.280853	17.614684	20.636198	17.278798	17.923105	17.211144
OoffiChr01g03409	OoffiChr01g03409	3.922666	50.985466	82.927738	0	0.260279	0	0	1.123052	3.400175	0	0
OoffiChr01g03410	OoffiChr01g03410	0.434348	6.802827	6.92277	0	13.284141	0.970862	0	0.459038	8.020875	2.984124	0
OoffiChr01g03411	OoffiChr01g03411	0.563755	0.52405	0.40661	0.057083	15.574675	17.742757	0.319132	0.124817	24.585515	0.421858	21.632525
OoffiChr01g03412	OoffiChr01g03412	4.500991	2.445151	0.321126	0	284.183357	29.844892	0.247054	0	42.022149	0	29.768054
OoffiChr01g03413	OoffiChr01g03413	1.184114	0.881644	0.776412	0	0.529977	0.320193	0	0	2.831978	0.875152	0
OoffiChr01g03414	OoffiChr01g03414	81.504591	8.159885	18.316948	0.416965	15.89263	3.280287	1.005683	9.578067	8.992958	3.160081	2.252752
OoffiChr01g03415	OoffiChr01g03415	2.302337	0.939235	0	0	5.408334	2.129841	0	1.28608	55.19582	19.970166	0
OoffiChr01g03416	OoffiChr01g03416	96.962919	50.603696	100.985833	38.708255	54.324644	193.398089	26.026493	27.796327	288.903951	37.810705	422.316672
OoffiChr01g03417	OoffiChr01g03417	7.488947	12.563385	13.108504	14.207682	10.563597	25.893646	6.434139	6.067183	8.208499	8.276703	34.43482
OoffiChr01g03418	OoffiChr01g03418	0.978824	0.709744	0	0	0	0	0	0	2.335198	0	0
OoffiChr01g03419	OoffiChr01g03419	0.774705	79.192294	111.642027	1371.312844	426.536792	38.310911	633.900519	362.231935	6.032716	3380.617767	2.750348
OoffiChr01g03420	OoffiChr01g03420	20.746999	20.348292	20.283024	28.467216	19.674456	11.738838	26.354034	49.463006	24.182841	18.539389	16.155678
